"Episode","success","found_goal","steps","distance_to_goal","object_goal","failure_type"
"0","1","True","128","0.0212731994688511","Find the <toilet>.","success"
"1","1","True","203","0.150378540158272","Find the <chair>.","success"
"2","1","False","500","0.229164510965347","Find the <potted_plant>.","success"
"3","1","True","240","0.836036443710327","Find the <bed>.","success"
"4","1","True","34","0.0855368003249168","Find the <tv_monitor>.","success"
"5","1","True","70","0.150114580988884","Find the <sofa>.","success"
"6","1","True","328","0.153125464916229","Find the <toilet>.","success"
"7","1","True","97","0.107864700257778","Find the <toilet>.","success"
"8","1","True","64","0.150041729211807","Find the <sofa>.","success"
"9","0","True","45","4.44945526123047","Find the <chair>.","false_positive_or_wrong_stop"
"10","1","True","378","0.153573542833328","Find the <sofa>.","success"
"11","1","True","54","0.101244725286961","Find the <chair>.","success"
"12","1","True","256","0.135266289114952","Find the <potted_plant>.","success"
"13","1","True","142","0.103001326322556","Find the <bed>.","success"
"14","1","True","168","0.0309735536575317","Find the <bed>.","success"
"15","1","True","280","0.150876134634018","Find the <bed>.","success"
"16","1","True","123","0.0320825129747391","Find the <chair>.","success"
"17","1","True","227","0.0341084338724613","Find the <potted_plant>.","success"
"18","1","True","309","0.152906119823456","Find the <sofa>.","success"
"19","1","True","152","0.154239147901535","Find the <chair>.","success"
"20","0","False","500","1.88566493988037","Find the <tv_monitor>.","exploration_timeout_no_goal"
"21","1","True","252","0.063937783241272","Find the <bed>.","success"
"22","1","True","379","0.0277626849710941","Find the <chair>.","success"
"23","0","True","154","12.9387836456299","Find the <tv_monitor>.","false_positive_or_wrong_stop"
"24","1","False","500","0.15593233704567","Find the <bed>.","success"
"25","1","True","135","0.0188463963568211","Find the <chair>.","success"
"26","0","False","500","9.38528442382813","Find the <potted_plant>.","exploration_timeout_no_goal"
"27","1","True","99","0.0682635381817818","Find the <chair>.","success"
"28","0","True","417","4.36800146102905","Find the <chair>.","false_positive_or_wrong_stop"
"29","1","True","229","0.0395588129758835","Find the <sofa>.","success"
"30","0","True","388","10.3261747360229","Find the <tv_monitor>.","false_positive_or_wrong_stop"
"31","1","True","415","0.133334130048752","Find the <bed>.","success"
"32","1","True","133","0.130810096859932","Find the <chair>.","success"
"33","0","False","500","19.6279411315918","Find the <tv_monitor>.","exploration_timeout_no_goal"
"34","0","False","494","5.99538612365723","Find the <sofa>.","early_end_without_goal"
"35","0","False","500","8.26349925994873","Find the <bed>.","exploration_timeout_no_goal"
"36","0","True","90","15.1933403015137","Find the <chair>.","false_positive_or_wrong_stop"
"37","1","False","500","0.083919882774353","Find the <potted_plant>.","success"
"38","1","True","76","0.0584875978529453","Find the <bed>.","success"
"39","0","True","47","1.75436162948608","Find the <tv_monitor>.","false_positive_or_wrong_stop"
"40","0","True","105","1.77514791488647","Find the <sofa>.","false_positive_or_wrong_stop"
"41","1","True","94","0.104070089757442","Find the <sofa>.","success"
"42","1","True","38","0.0445295907557011","Find the <sofa>.","success"
"43","1","True","500","0.786490857601166","Find the <toilet>.","success"
"44","1","True","88","0.105773240327835","Find the <bed>.","success"
"45","0","True","500","7.21236181259155","Find the <toilet>.","goal_candidate_but_timeout"
"46","1","True","195","0.0339080542325974","Find the <toilet>.","success"
"47","1","True","500","0.0575917884707451","Find the <chair>.","success"
"50","0","False","500","1.44354450702667","Find the <potted_plant>.","exploration_timeout_no_goal"
"51","1","True","165","0.0222114846110344","Find the <chair>.","success"
"52","1","True","143","0.102782972157001","Find the <chair>.","success"
"53","1","True","306","0.151792481541634","Find the <tv_monitor>.","success"
"54","0","True","21","3.64903926849365","Find the <chair>.","false_positive_or_wrong_stop"
"55","1","True","59","0.0499333739280701","Find the <bed>.","success"
"56","1","True","32","0.0565299727022648","Find the <chair>.","success"
"57","0","False","500","4.1247444152832","Find the <potted_plant>.","exploration_timeout_no_goal"
"58","1","True","441","0.0824540033936501","Find the <tv_monitor>.","success"
"59","0","False","500","7.6624927520752","Find the <potted_plant>.","exploration_timeout_no_goal"
"60","1","True","131","0.102685831487179","Find the <sofa>.","success"
"61","1","True","60","0.069775328040123","Find the <sofa>.","success"
